ملف 1,ملف 2,نسبة التشابه,وسم آلي,وسم مراجعة
صك حكم نهائي الشيخ اسامة زيني ـ دعوى 42824717 - 25-08-1445 هـ رفض الالتماس.pdf,حكم نهائي الشيخ اسامة زيني ـ 42824717 - 25-08-1445 رفض الالتماس.pdf,0.77,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
تفاصيل دعوى عدنان ضد أسامة ـ موعدها 03-01-1443,تفاصيل موعد دعوى عدنان ضد أسامة,0.62,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
مذكرة جوابية على المدعي ـ 02-09-1447,مذكرة جوابية على المدعي ـ 02-09-1447 (نسخة),0.83,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
طلب التماس 20-10-2025 ـ ناجز (صورة),طلب التماس 20-10-2025 ـ ناجز,0.80,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 25 يوم 15-08-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 26 يوم 29-08-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 27 يوم 20-09-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 28 يوم 19-10-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 29 يوم 03-11-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 30 يوم 10-11-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 31 يوم 17-11-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 32 يوم 24-11-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 24 يوم 01-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 33 يوم 02-12-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 25 يوم 15-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 26 يوم 29-08-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 25 يوم 15-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 27 يوم 20-09-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 25 يوم 15-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 28 يوم 19-10-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
ضبط جلسة رقم 25 يوم 15-08-1444 هـ للقضية رقم 42824717.pdf,ضبط جلسة رقم 29 يوم 03-11-1444 هـ للقضية رقم 42824717.pdf,0.64,[مخرج آلي / Script Output - سماوي],[مخرج آلي يحتاج مراجعة بشرية - وردي]
